Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/01  01:00:00,7.88,78.7,13.2790972116884,0.805436461694947,,57.3738940605838,5.188651759371458E-002 
 01/01  02:00:00,7.92,82.05,12.9444510896282,1.01003133740941,,57.3314575961589,5.194627907961602E-002 
 01/01  03:00:00,8.375,83.7,12.7131407116208,0.916308301635716,,60.8081053026044,5.173632261826915E-002 
 01/01  04:00:00,9.04,83.75,12.5404530995608,0.819549162726998,,63.0678971708754,5.110405257511559E-002 
 01/01  05:00:00,8.63,90.4,12.3689727021728,0.827472909180246,,67.057573991732,5.053561115706968E-002 
 01/01  06:00:00,8.,89.05,12.1605190710498,0.898467964192683,,69.0025249760041,5.077134390060752E-002 
 01/01  07:00:00,8.55,84.45,15.32285358761,1.05041450365722,,49.149778911907,5.149829301887678E-002 
 01/01  08:00:00,8.615,84.,17.098195566858,0.993381095842492,,43.3511453359096,5.208588488801643E-002 
 01/01  09:00:00,7.97,83.45,14.7930163278025,0.702993023443415,,54.9840193631479,5.147436468335893E-002 
 01/01  10:00:00,8.085,80.8,13.5242065671406,0.58344612423109,,58.1851437283361,5.127120323039756E-002 
 01/01  11:00:00,8.84,78.45,12.9585902420345,0.544061382053884,,59.4735944182668,5.172764533208255E-002 
 01/01  12:00:00,9.75,69.75,12.6372586993691,0.63978782006025,,60.2872871286767,5.253989443843141E-002 
 01/01  13:00:00,9.76,65.2,12.4288037960886,0.954068198160633,,57.1535965029297,5.357252999065849E-002 
 01/01  14:00:00,10.005,67.,12.2837551945132,1.15486608021384,,56.6737224867384,5.461431210540655E-002 
