Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING_L1:Surface Inside Face Temperature [C](Hourly),LIVING_L2:Surface Inside Face Temperature [C](Hourly),LIVING_L3:Surface Inside Face Temperature [C](Hourly),LIVING_L4:Surface Inside Face Temperature [C](Hourly),LIVING_L1:HAMT Surface Inside Face Temperature [C](Hourly),LIVING_L1:HAMT Surface Inside Face Relative Humidity [%](Hourly),LIVING_L1:HAMT Surface Inside Face Vapor Pressure [Pa](Hourly),LIVING_L2:HAMT Surface Inside Face Temperature [C](Hourly),LIVING_L2:HAMT Surface Inside Face Relative Humidity [%](Hourly),LIVING_L2:HAMT Surface Inside Face Vapor Pressure [Pa](Hourly),LIVING_L3:HAMT Surface Inside Face Temperature [C](Hourly),LIVING_L3:HAMT Surface Inside Face Relative Humidity [%](Hourly),LIVING_L3:HAMT Surface Inside Face Vapor Pressure [Pa](Hourly),LIVING_L4:HAMT Surface Inside Face Temperature [C](Hourly),LIVING_L4:HAMT Surface Inside Face Relative Humidity [%](Hourly),LIVING_L4:HAMT Surface Inside Face Vapor Pressure [Pa](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),LIVING:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,7.86666666666667,78.5,15.1282316996751,15.2815095387159,14.6360968041727,15.0604260726744,15.1282316996751,45.2963784239107,778.928113785536,15.2815095387159,44.471809869253,772.325020665447,14.6360968041727,46.2840931872277,771.063512969044,15.0604260726744,45.5040820532336,779.092755518284,14.8343936357088,15.0954544074511,44.7547430510149 
 01/01  02:00:00,7.93333333333333,82.4166666666667,14.9098378092957,15.0159060156216,14.3482208928712,14.8424299638475,14.9098378092957,45.0649316653679,764.110893926106,15.0159060156216,44.3979229660745,757.961749958079,14.3482208928712,46.2196846187547,755.771093533333,14.8424299638475,45.2671916875627,764.212371934397,14.652710424653,14.8822820535425,44.5209095619 
 01/01  03:00:00,8.39166666666667,83.5,14.7814644338449,14.881560752098,14.1917013166494,14.7101939414302,14.7814644338449,45.0858905642151,758.162834870738,14.881560752098,44.5006218345384,753.166480821549,14.1917013166494,46.3491362530227,750.241591692836,14.7101939414302,45.2897646600672,758.096668128794,14.5455949085634,14.7542267717477,44.669033362269 
 01/01  04:00:00,9.06666666666667,83.9166666666667,14.6765423548637,14.773056282835,14.0689572013535,14.5992527145378,14.6765423548637,45.0243576953582,752.017609897107,14.773056282835,44.4967760445653,747.849385419877,14.0689572013535,46.3622893787952,744.504407958951,14.5992527145378,45.2343692471634,751.763335622797,14.4640112942982,14.6541453496394,44.6157434589018 
 01/01  05:00:00,8.58333333333333,90.6666666666667,14.583179277553,14.6754622975712,13.9769549387384,14.5006481910452,14.583179277553,45.0813046817973,748.441194404138,14.6754622975712,44.5899584206655,744.709407889575,13.9769549387384,46.4617062190408,741.658728452538,14.5006481910452,45.298585471319,748.047477044617,14.3509754020848,14.5441219778858,44.8960151791146 
 01/01  06:00:00,8.,88.75,14.4801829034759,14.5650236699471,13.8811134005065,14.3944393549265,14.4801829034759,45.0825375784073,743.497047910877,14.5650236699471,44.6188844559145,739.897439699811,13.8811134005065,46.4870462118141,737.460196588885,14.3944393549265,45.3048057460204,743.030036651905,14.2149947502881,14.4211256030444,44.9378531435983 
 01/01  07:00:00,8.58333333333333,84.4166666666667,14.6421993649435,14.8069077914435,14.1408937685465,14.5522566775144,14.6421993649435,44.8321420273983,747.158283315126,14.8069077914435,44.2988528389943,746.167116638412,14.1408937685465,46.1308283873245,744.268811160629,14.5522566775144,45.0599789795656,746.604254442165,15.215921822377,14.9786369298198,42.3311804315465 
 01/01  08:00:00,8.59166666666667,84.,14.8448020315152,15.0901947527955,14.4287412159168,14.7483141231136,14.8448020315152,44.7334527729447,755.313338698961,15.0901947527955,44.0580141697823,755.761171303935,14.4287412159168,45.8745594082158,754.042744911103,14.7483141231136,44.9709425507103,754.611779781352,15.440832562207,15.1851257991016,42.1287473628379 
 01/01  09:00:00,7.95,83.4166666666667,14.8919285785751,15.1246006154614,14.470860758123,14.7915755126583,14.8919285785751,44.5297710853583,754.16096732904,15.1246006154614,43.8188256142303,753.323229584185,14.470860758123,45.611689411735,751.765930138028,14.7915755126583,44.7713963975517,753.362076941894,15.1175675191778,15.0335511912098,42.9452937416636 
 01/01  10:00:00,8.10833333333333,80.6666666666667,14.7418824371282,14.8855164243185,14.202251200401,14.6389755651538,14.7418824371282,44.5236964785372,746.813078037866,14.8855164243185,43.8901383466883,743.046020268589,14.202251200401,45.7281462101155,740.719098567757,14.6389755651538,44.772856642707,746.019494200067,14.5243537880141,14.6722510299075,43.9292937547568 
 01/01  11:00:00,8.86666666666667,78.4166666666667,14.5465660358475,14.611047150987,13.9211194695226,14.444078668866,14.5465660358475,44.2737844932569,733.300664305011,14.611047150987,43.764466095455,727.891691722109,13.9211194695226,45.6170715798682,725.544053260028,14.444078668866,44.5228473052637,732.555381882548,14.3049672402175,14.4673159627041,43.7408238421395 
 01/01  12:00:00,9.78333333333333,69.25,14.4606084489293,14.5143072081774,13.8297808062579,14.3568308054546,14.4606084489293,44.2068614040835,728.131213166552,14.5143072081774,43.7495559261757,723.105286622433,13.8297808062579,45.6085909918596,721.113370556825,14.3568308054546,44.4539537751511,727.301080162702,14.2676699365295,14.4307432425348,43.6882717899846 
 01/01  13:00:00,9.73333333333333,65.3333333333333,14.5376451577976,14.638005075268,13.9627718787763,14.4293011177389,14.5376451577976,44.2006368386274,731.667141700016,14.638005075268,43.7208477269569,728.435572267367,13.9627718787763,45.5875977724044,727.042301262128,14.4293011177389,44.4565398059622,730.765408766543,14.4190912831097,14.643065456894,43.74686470762 
 01/01  14:00:00,10.0416666666667,67.,14.6578166834331,14.823603075292,14.2107922741037,14.5461537104226,14.6578166834331,44.328929108742,739.510122405485,14.823603075292,43.7639186504739,737.938551838496,14.2107922741037,45.5853645831082,738.798545128965,14.5461537104226,44.5958067079546,738.614710785063,14.6335690965106,14.8633013594222,43.8468157776871 
 01/01  15:00:00,10.5583333333333,65.8333333333333,14.8392025285358,15.07695804734,14.5483074977429,14.7247879179942,14.8392025285358,44.5198458694436,751.441439825411,15.07695804734,43.8317528139095,751.248237615673,14.5483074977429,45.5752017944997,754.949424643093,14.7247879179942,44.7976318540241,750.569578056149,14.9020243786605,15.1581397345265,44.0314679862628 
