Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),KITCHEN_L1:Surface Inside Face Temperature [C](Hourly),KITCHEN_L2:Surface Inside Face Temperature [C](Hourly),KITCHEN_L3:Surface Inside Face Temperature [C](Hourly),KITCHEN_L4:Surface Inside Face Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Operative Temperature [C](Hourly),KITCHEN:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,7.86666666666667,78.5,12.1665889861374,12.167319220132,12.8687460733943,12.9057076263187,12.5912017218709,12.6400800815481,95.3177290428081 
 01/01  02:00:00,7.93333333333333,82.4166666666667,11.8406323598473,11.8422390737074,12.596148236627,12.6388389716859,12.3040633654835,12.3488398424745,95.0173030092486 
 01/01  03:00:00,8.39166666666667,83.5,11.5473362949649,11.5502420381981,12.3379800003542,12.3867223370794,12.0373163075682,12.0794716847411,95.2175178163737 
 01/01  04:00:00,9.06666666666667,83.9166666666667,11.3256895227212,11.3298717086061,12.1051690549704,12.1600334251524,11.8155081556632,11.8533010768405,95.4002658455574 
 01/01  05:00:00,8.58333333333333,90.6666666666667,11.1839139845158,11.1879633241093,11.905038735989,11.965510436791,11.6376582854438,11.670292734994,95.4295627404102 
 01/01  06:00:00,8.,88.75,11.0571061040902,11.0604798319373,11.7263027898936,11.7913766809362,11.4772798382884,11.506369090325,95.3790191353784 
 01/01  07:00:00,8.58333333333333,84.4166666666667,11.2099631346483,11.2140466680888,11.8625163225027,11.9316354928431,12.3014084230105,11.96548713083,89.5432647819188 
 01/01  08:00:00,8.59166666666667,84.,14.5547909326867,14.5766636641362,15.0835730171063,15.1496829318394,17.6210158224865,16.5695878012151,96.9823791091087 
 01/01  09:00:00,7.95,83.4166666666667,12.7586882430801,12.7612264854821,13.4040283973869,13.4695728128908,13.3007934005236,13.3842955450786,96.7567407024534 
 01/01  10:00:00,8.10833333333333,80.6666666666667,11.9695652197378,11.976859542676,12.6670543273041,12.7363001063884,12.435768932391,12.4949813216943,98.921524553001 
 01/01  11:00:00,8.86666666666667,78.4166666666667,11.6130111618899,11.6251655496687,12.3240207030562,12.3950072112603,12.0794960068005,12.1266701973405,97.4636887311351 
 01/01  12:00:00,9.78333333333333,69.25,11.4324643711511,11.4523789820801,12.1031907435403,12.173418014396,11.8797192465217,11.9248761248823,96.0798048087503 
 01/01  13:00:00,9.73333333333333,65.3333333333333,11.3947877086838,11.4251513870547,11.9725171911158,12.0400769050429,11.7935496603737,11.8369048275219,94.5204227908389 
 01/01  14:00:00,10.0416666666667,67.,11.4140176122367,11.446998966825,11.8817710653418,11.9429482020417,11.7530954807204,11.7873390576017,92.997811177244 
 01/01  15:00:00,10.5583333333333,65.8333333333333,11.4298029423771,11.4606345749896,11.8093371759822,11.8615816184621,11.718520061585,11.7427386363705,91.8509414800868 
 01/01  16:00:00,10.4833333333333,65.,12.0299841422839,12.051189304236,12.2948906158274,12.337653767329,12.8766930208531,12.6033098239817,83.9104846391331 
 01/01  17:00:00,10.4,62.0833333333333,12.5495507003056,12.5622149152696,12.7534486692682,12.7878287661169,13.3960417670888,13.1192656950972,79.8278893831871 
 01/01  18:00:00,10.1083333333333,64.0833333333333,12.547760187065,12.5535141920208,12.7475962197848,12.779833326779,13.4462116376475,13.0833382658791,78.1545675915029 
 01/01  19:00:00,9.375,65.25,15.5993857948522,15.6039665429838,15.706847402733,15.7328891065937,18.6025431779147,17.4013455301073,98.4114926126765 
 01/01  20:00:00,8.88333333333333,66.3333333333333,13.9785655233802,13.974593892023,14.2851598348697,14.307176954221,14.7066928452374,14.5599836346622,86.6798548116297 
 01/01  21:00:00,9.26666666666667,68.5833333333333,14.3729766175628,14.3689646948225,14.7716850379838,14.7940024705096,16.3323877295893,15.5721658224817,93.1602089778648 
