Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/01  01:00:00,7.86666666666667,78.5,15.4373180546779,14.6454823199391,0.273869143445085,0.25329000280612,0.303192609379569,,,54.4343872351891,,,48.6153657189973,,55.6319179327302,,,,,,54.5084195883236,4.680215014191091E-002,3.712496013423860E-002,4.162858694322806E-002 
 01/01  02:00:00,7.93333333333333,82.4166666666667,15.4628608383215,14.537576350178,0.379045234165099,0.303720021403824,0.30130071861998,,,53.6749821889598,,,48.7719460618165,,55.568633806137,,,,,,53.5163757788715,4.556405405578271E-002,3.939482262124136E-002,4.342633927934122E-002 
 01/01  03:00:00,8.39166666666667,83.5,15.5077856151831,14.4781606297978,0.346417616318521,0.275493798806382,0.275661350407902,,,54.6404083769548,,,49.7675837814124,,57.144120172309,,,,,,54.3853870922251,4.502266456095160E-002,4.028087285632958E-002,4.305921356566331E-002 
 01/01  04:00:00,9.06666666666667,83.9166666666667,15.5611689019344,14.4351840266003,0.356179832936181,0.222203937295903,0.239961115021308,,,55.8987864223678,,,50.5146336125005,,58.3221586733266,,,,,,55.5078384549989,4.453686932077763E-002,4.021817702757387E-002,4.239054774818282E-002 
 01/01  05:00:00,8.58333333333333,90.6666666666667,15.6009970151681,14.3753863520826,0.38789687740979,0.197938442044358,0.234692824248036,,,58.5054023262562,,,51.7273109538305,,60.8857553013115,,,,,,57.6036566063009,4.487272684570880E-002,3.965077755406127E-002,4.194666827957564E-002 
 01/01  06:00:00,8.,88.75,15.6158032813179,14.289038286512,0.418410777276217,0.212000485999012,0.253456747401139,,,60.3759458306407,,,52.804976187805,,61.9460891454202,,,,,,59.4765347881136,4.568248421644713E-002,3.963296390729527E-002,4.229438856635073E-002 
 01/01  07:00:00,8.58333333333333,84.4166666666667,15.5843087915179,14.2342102093887,0.440104775476365,0.232873867427254,0.264212921634344,,,60.0390259225996,,,53.334899028805,,60.9587972424907,,,,,,59.5944841230437,4.637711472354553E-002,3.994554321929963E-002,4.278501999095758E-002 
 01/01  08:00:00,8.59166666666667,84.,15.3218581071505,14.1323141410271,0.790426018741201,0.248952920311509,0.36016536073892,,,77.4451787708125,,,54.7123015821128,,62.7046332192018,,,,,,59.9222019692975,4.738425971668599E-002,4.030489649285916E-002,4.444404774804367E-002 
 01/01  09:00:00,7.95,83.4166666666667,15.1958680247278,14.4414078308531,0.6434138732711,1.890193864410485E-002,0.14728309942172,,,63.0163096237891,,,56.9377908131517,,60.620589810518,,,,,,57.7436467084217,4.837458844770290E-002,3.964853069418781E-002,4.396487898238691E-002 
 01/01  10:00:00,8.10833333333333,80.6666666666667,15.1606475886184,14.3189685331396,0.721224274569354,0.0,0.125377517607281,,,58.7327930427599,,,58.1461874643075,,60.2749996639364,,,,,,58.0818574139235,5.026916425250133E-002,4.003667204097360E-002,4.374525984832662E-002 
