Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/01  01:00:00,-0.633333333333333,86.2333333333333,15.4888119006803,16.2725279420554,0.727728368348958,0.994534419180447,0.468874403570365,,,,,,,,28.3847521513394,,39.3122639234455,,32.3565399920762,,27.6084938904204,5.344561649455384E-002,5.439802432994609E-002,4.930738715840782E-002 
 01/01  02:00:00,0.141666666666667,88.3416666666667,15.4324136023506,16.2723453908258,0.183143732710807,1.38554545142374,0.0,,,,,,,,30.1121684858948,,45.0625898601829,,38.034877865933,,27.6307246774489,5.239438079555572E-002,5.589902313753638E-002,4.768846928221968E-002 
 01/01  03:00:00,0.1,88.3,15.214469483073,16.1897513149303,0.214604625087082,1.28529022715841,0.0,,,,,,,,31.8265945517177,,46.0447826722215,,39.5065681806226,,28.8644632856361,5.135054041353814E-002,5.566919197215407E-002,4.695919730302034E-002 
 01/01  04:00:00,0.1,87.1333333333333,14.9463462042464,16.0719681568401,0.225126718423313,1.29407700363107,0.0,,,,,,,,32.8912696378727,,46.4065439358145,,39.9783583855833,,29.9416776545643,5.127450540492959E-002,5.557720595433491E-002,4.648019640193869E-002 
 01/01  05:00:00,-0.133333333333333,87.0583333333333,14.703553040297,15.9340259349611,0.210220148406567,1.28750271063113,0.0,,,,,,,,33.277224454702,,46.3233290202943,,39.8983407293223,,30.5992011985218,5.120162820345896E-002,5.562753131737082E-002,4.647951633208277E-002 
 01/01  06:00:00,-0.65,87.1916666666667,14.2374527652733,15.6033486425867,0.541651042563161,1.04794335430497,0.361830705349822,,,,,,,,33.6749041921146,,44.9711347462752,,39.243451019115,,30.9867505804647,5.270342371791870E-002,5.521671650757681E-002,4.846277087344119E-002 
 01/01  07:00:00,-1.36666666666667,84.8,14.9783644472773,16.0027699047598,0.136972568029896,1.17974278363334,0.0,,,,,,,,30.3732387552674,,43.2584939939091,,35.6443428941648,,28.8935821048221,5.132402899762182E-002,5.471813902126152E-002,4.847887117941915E-002 
 01/01  08:00:00,-1.525,82.4833333333333,15.1737859657824,16.065067308828,0.167496657242248,1.20610689302348,0.0,,,,,,,,29.1040111942299,,44.3329951237052,,51.4852289672819,,28.2147308963706,5.022282948278967E-002,5.407955240120938E-002,4.726216353680293E-002 
 01/01  09:00:00,-1.4,80.7333333333333,15.0015988233512,15.4998216387967,3.927425666916631E-002,1.17839077004627,0.0,,,,,,,,32.1687594030566,,43.9356932923437,,70.4487248356335,,33.0884282957812,4.931525012741739E-002,5.374558070256921E-002,4.704564306474204E-002 
 01/01  10:00:00,-0.875,78.325,16.8121979711236,16.1153164394402,0.157226130431114,0.990261650917184,0.0,,,,,,,,32.553352651195,,44.7124559505433,,50.9278139436755,,35.9940628606628,4.874201721204263E-002,5.374330110625172E-002,4.669756204462847E-002 
 01/01  11:00:00,-0.15,79.125,18.3155340092645,17.0006705905964,0.594386779024324,1.02868368108478,0.353049208067547,,,,,,,,29.8685770082379,,46.1636600861884,,38.6559692568655,,33.1753674687163,5.101103699928731E-002,5.413223425028013E-002,4.708641830102317E-002 
 01/01  12:00:00,0.625,80.675,19.2733108128204,17.6506839855937,0.599536805743359,0.981482085073293,0.396671439852356,,,,,,,,27.6131963226753,,45.2728222061942,,37.118131924271,,29.5748854236109,5.358140208377391E-002,5.495338624783475E-002,4.871278966702349E-002 
 01/01  13:00:00,1.23333333333333,76.7166666666667,20.1857442369037,18.6448467060915,0.117600564207544,1.37172841889842,0.0,,,,,,,,26.399489815723,,47.0850354742495,,93.2865159944487,,27.1889453476925,5.204793264704885E-002,5.432652849635328E-002,4.803370807643342E-002 
 01/01  14:00:00,1.63333333333333,67.9666666666667,21.4175935089751,19.156335513492,0.0,1.4370530110172,0.0,,,,,,,,28.1239026468577,,45.1712022007498,,80.2963846448151,,27.5109395119377,4.967613316447542E-002,5.449708264227874E-002,4.795781510561251E-002 
 01/01  15:00:00,1.50833333333333,66.25,21.9866293467056,19.4807600432824,5.152217511368360E-002,1.15160982969138,0.0,,,,,,,,32.3814782834818,,40.0049368898599,,45.7840922658624,,28.7874937936083,4.740807074237962E-002,5.412737045904809E-002,4.762976552796665E-002 
 01/01  16:00:00,0.716666666666667,69.8666666666667,21.6237526081669,19.3233807919246,0.178901677935494,0.990795620168797,0.0,,,,,,,,31.5994662528467,,42.0269440323325,,34.1520031254556,,29.3752658858259,4.800147345625999E-002,5.324504396776272E-002,4.632604836692591E-002 
 01/01  17:00:00,-0.516666666666667,72.8916666666667,19.6796425541384,18.0732681820664,0.262287556180168,1.03407455373685,0.0,,,,,,,,31.2185088580275,,42.736355833389,,29.8784781309161,,30.2375113753265,4.964558388552227E-002,5.374189088086801E-002,4.578784647101206E-002 
 01/01  18:00:00,-1.39166666666667,79.6416666666667,18.8895563192903,17.859691641023,0.295102534136832,1.10493660824077,0.0,,,,,,,,29.839334335381,,39.7261249910075,,28.4543045266827,,27.9436440211468,5.095382879159851E-002,5.449324812780897E-002,4.622597578944772E-002 
 01/01  19:00:00,-2.125,86.6333333333333,18.3422331632958,17.7771204503543,0.377041282234472,1.46388997735748,0.0,,,,,,,,29.8034036350638,,40.8149971132999,,85.1168855671557,,26.5766836844911,5.208008645529202E-002,5.504253658583535E-002,4.677039239524670E-002 
 01/01  20:00:00,-2.5,88.8,17.8967049208138,17.6839272816178,0.363039987991816,1.32908625269283,0.0,,,,,,,,28.7736653404198,,46.0821448559988,,50.6260555604496,,29.9772817829437,5.245044874561145E-002,5.499254413279939E-002,4.802446690582072E-002 
 01/01  21:00:00,-2.55833333333333,89.9083333333333,17.7913767602883,17.5690333475715,0.458101139526995,1.20588886132064,0.139078347737472,,,,,,,,28.8857591237194,,45.146343809971,,46.9369935380219,,31.0425004295952,5.275606780135560E-002,5.568024466584026E-002,4.887239274574381E-002 
 01/01  22:00:00,-2.36666666666667,89.7083333333333,17.5023627737968,16.8093414542985,0.581266982826475,0.98096373598487,0.274650573390946,,,,,,,,30.425841592801,,44.8016196942102,,47.905197186132,,30.9991616872027,5.295635653739213E-002,5.525146191193026E-002,4.899041387961909E-002 
 01/01  23:00:00,-2.25833333333333,86.375,16.5631849444524,16.5952699942977,0.601053949004075,0.907829868476382,0.342955575441293,,,,,,,,30.5670861916808,,42.5092115360686,,37.2629385416521,,30.0015015342159,5.294792023432965E-002,5.454194936869222E-002,4.902760596886460E-002 
