Date/Time,PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Window Thermochromic Layer Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Window Thermochromic Layer Property Specification Temperature [C](TimeStep) 
 07/01  00:10:00,0.0,18.2105926310401,25. 
 07/01  00:20:00,0.0,17.9788518506923,25. 
 07/01  00:30:00,0.0,17.7578741539844,25. 
 07/01  00:40:00,0.0,17.5317280644093,25. 
 07/01  00:50:00,0.0,17.3081806307313,25. 
 07/01  01:00:00,0.0,17.0771058951771,25. 
 07/01  01:10:00,0.0,17.0844496743647,25. 
 07/01  01:20:00,0.0,17.0881609329713,25. 
 07/01  01:30:00,0.0,17.0959604088404,25. 
 07/01  01:40:00,0.0,17.1045919319697,25. 
 07/01  01:50:00,0.0,17.113618611825,25. 
 07/01  02:00:00,0.0,17.1226800411397,25. 
 07/01  02:10:00,0.0,17.1048629379789,25. 
 07/01  02:20:00,0.0,17.0892616823689,25. 
 07/01  02:30:00,0.0,17.0724207812423,25. 
 07/01  02:40:00,0.0,17.0555980805082,25. 
 07/01  02:50:00,0.0,17.0388394810715,25. 
 07/01  03:00:00,0.0,17.0222525479275,25. 
 07/01  03:10:00,0.0,17.0321509235803,25. 
 07/01  03:20:00,0.0,17.0419820442867,25. 
 07/01  03:30:00,0.0,17.0529452770839,25. 
 07/01  03:40:00,0.0,17.0641544979562,25. 
 07/01  03:50:00,0.0,17.0754565354947,25. 
 07/01  04:00:00,3.26717471642364,17.4753766694552,25. 
 07/01  04:10:00,4.34117311048119,17.5168941994119,25. 
 07/01  04:20:00,5.4308570872971,17.6226860029626,25. 
 07/01  04:30:00,6.524763178569,17.7296023928288,25. 
 07/01  04:40:00,7.37229079151319,17.8098103925271,25. 
 07/01  04:50:00,8.21429059783476,17.8874832144634,25. 
 07/01  05:00:00,9.0259253195259,17.9612796321539,25. 
 07/01  05:10:00,9.82449877612601,18.0219203084782,25. 
 07/01  05:20:00,10.6254110127916,18.0819856103372,25. 
 07/01  05:30:00,11.4285557760289,18.1418747219089,25. 
 07/01  05:40:00,12.9659495017006,18.2775459439564,25. 
 07/01  05:50:00,14.5107517751113,18.4179719178574,25. 
 07/01  06:00:00,16.0545924525529,18.5585045099004,25. 
 07/01  06:10:00,17.5786998144472,18.8321327415883,25. 
 07/01  06:20:00,19.08576990492,19.1576960799401,25. 
 07/01  06:30:00,20.5911215146878,19.4169743296508,25. 
 07/01  06:40:00,22.0730394777927,19.6743054982153,25. 
 07/01  06:50:00,23.5529645830776,19.850205581115,25. 
 07/01  07:00:00,25.030722317297,20.1140556980424,25. 
 07/01  07:10:00,26.5061358292033,20.3540408796749,25. 
 07/01  07:20:00,27.9790266083123,20.5929459958705,25. 
 07/01  07:30:00,29.468777929005,20.8329428425794,25. 
 07/01  07:40:00,30.8720758204434,21.0633809242134,25. 
 07/01  07:50:00,32.2833005270446,21.2939560817362,25. 
 07/01  08:00:00,33.7026121023914,21.5248235846282,25. 
 07/01  08:10:00,35.1301177693552,21.7145526216678,25. 
 07/01  08:20:00,36.5658727688943,21.9129285845997,25. 
 07/01  08:30:00,38.0098803671891,22.1123172918197,25. 
 07/01  08:40:00,39.241046224126,22.2907280109198,25. 
 07/01  08:50:00,40.4771104276143,22.4679133672801,25. 
 07/01  09:00:00,41.7181767923893,22.6449736719046,25. 
 07/01  09:10:00,42.9642523336845,22.8735001536581,25. 
 07/01  09:20:00,44.21525263294,23.0933768845735,25. 
 07/01  09:30:00,45.4710050427126,23.3134840424636,25. 
 07/01  09:40:00,54.824367557347,24.4353167000353,25. 
 07/01  09:50:00,68.1719417397923,25.9350021020929,25. 
 07/01  10:00:00,79.0763237869666,27.2384793137517,25. 
 07/01  10:10:00,90.4680470555458,28.6059487895288,27. 
 07/01  10:20:00,99.3864069847967,30.1838851820921,29. 
 07/01  10:30:00,108.173310072125,31.8048834419264,31. 
 07/01  10:40:00,107.241888261948,32.3750381013857,31. 
 07/01  10:50:00,109.238800342316,32.7653243422508,33. 
 07/01  11:00:00,108.066534930875,33.3271475138915,33. 
 07/01  11:10:00,109.792291744317,33.5475336981002,33. 
 07/01  11:20:00,111.401756285034,33.7649727119071,33. 
 07/01  11:30:00,112.890668781948,33.9698027362716,33. 
 07/01  11:40:00,113.50731169741,34.0842948823499,33. 
 07/01  11:50:00,113.993074405155,34.182432469384,35. 
 07/01  12:00:00,111.250701712028,34.4579469471739,35. 
 07/01  12:10:00,111.465348691574,34.5723844544131,35. 
 07/01  12:20:00,111.549849769449,34.6759900308778,35. 
 07/01  12:30:00,111.504084263704,34.7671067351081,35. 
 07/01  12:40:00,110.585166950072,34.7678281119962,35. 
 07/01  12:50:00,109.540663541901,34.7472021504005,35. 
 07/01  13:00:00,108.373081397708,34.7147550112099,35. 
 07/01  13:10:00,107.08534547304,34.5274602997215,35. 
 07/01  13:20:00,105.680842941465,34.3179511719807,35. 
 07/01  13:30:00,104.163489289424,34.1070006578617,35. 
 07/01  13:40:00,93.2820245658196,32.7472825626767,35. 
 07/01  13:50:00,82.6800721997497,31.4204342912471,33. 
 07/01  14:00:00,74.4137746810842,29.991660036161,31. 
 07/01  14:10:00,66.0305309918012,28.7186477254926,29. 
 07/01  14:20:00,54.3715752256,27.1527282105822,29. 
 07/01  14:30:00,45.0033470310252,26.1211146799629,27. 
 07/01  14:40:00,52.226656806079,26.7619531580485,27. 
 07/01  14:50:00,60.6028495402462,27.7662569246078,27. 
 07/01  15:00:00,65.6765376502282,28.4100933534856,27. 
 07/01  15:10:00,70.2526615203466,29.0627543221165,29. 
 07/01  15:20:00,72.2462288460778,29.8022947190992,29. 
 07/01  15:30:00,75.7140036514562,30.3255976453484,29. 
 07/01  15:40:00,71.8894938970739,30.0175440715163,31. 
 07/01  15:50:00,66.2712657006477,29.8290056790771,31. 
 07/01  16:00:00,62.7845325444182,29.497411782691,29. 
 07/01  16:10:00,61.1280754122058,28.9715547861528,29. 
 07/01  16:20:00,57.8067408954687,28.5634564557439,29. 
 07/01  16:30:00,54.6166595068442,28.166772593764,29. 
 07/01  16:40:00,51.31018522417,27.7589842876037,29. 
 07/01  16:50:00,48.1186294040717,27.3724998111824,27. 
 07/01  17:00:00,46.8685183927616,26.9918571536309,27. 
 07/01  17:10:00,44.5642994855102,26.6824203506422,27. 
 07/01  17:20:00,42.2439613334747,26.3763189691332,27. 
 07/01  17:30:00,39.9079695829025,26.0688420003519,27. 
 07/01  17:40:00,37.4525330751537,25.7490356293538,27. 
 07/01  17:50:00,34.9829915410549,25.4275653243947,25. 
 07/01  18:00:00,33.443396419707,25.0429817878105,25. 
 07/01  18:10:00,30.8756287868266,24.8146088393947,25. 
 07/01  18:20:00,28.2957552176961,24.5742863227622,25. 
