Time,CORE_ZN:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:LAS_VEGAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.603756E+02,0.000000E+00,1.773792E-02,0.000000E+00,3.102558E+02,0.000000E+00,1.191873E-02,0.000000E+00,4.273928E+02,0.000000E+00,1.651289E-02,0.000000E+00,3.094893E+02,0.000000E+00,1.189045E-02,0.000000E+00 
00:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.863711E+02,0.000000E+00,1.878268E-02,0.000000E+00,3.344757E+02,0.000000E+00,1.289212E-02,0.000000E+00,4.551927E+02,0.000000E+00,1.763016E-02,0.000000E+00,3.336565E+02,0.000000E+00,1.286172E-02,0.000000E+00 
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.057054E+02,0.000000E+00,3.161686E-02,0.000000E+00,5.486014E+02,0.000000E+00,2.149783E-02,0.000000E+00,7.562498E+02,0.000000E+00,2.972977E-02,0.000000E+00,5.473059E+02,0.000000E+00,2.144829E-02,0.000000E+00 
00:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.044532E+03,0.000000E+00,4.121315E-02,0.000000E+00,7.108189E+02,0.000000E+00,2.801575E-02,0.000000E+00,9.819277E+02,0.000000E+00,3.879791E-02,0.000000E+00,7.091555E+02,0.000000E+00,2.795143E-02,0.000000E+00 
00:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.285055E+03,0.000000E+00,5.087828E-02,0.000000E+00,8.735839E+02,0.000000E+00,3.455616E-02,0.000000E+00,1.209439E+03,0.000000E+00,4.794029E-02,0.000000E+00,8.715552E+02,0.000000E+00,3.447716E-02,0.000000E+00 
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.525308E+03,0.000000E+00,6.053269E-02,0.000000E+00,1.035858E+03,0.000000E+00,4.107693E-02,0.000000E+00,1.436868E+03,0.000000E+00,5.707946E-02,0.000000E+00,1.033468E+03,0.000000E+00,4.098339E-02,0.000000E+00 
01:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.305100E+03,0.000000E+00,5.244582E-02,0.000000E+00,8.875679E+02,0.000000E+00,3.566663E-02,0.000000E+00,1.237023E+03,0.000000E+00,4.971060E-02,0.000000E+00,8.855857E+02,0.000000E+00,3.558699E-02,0.000000E+00 
01:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.519715E+03,0.000000E+00,6.106995E-02,0.000000E+00,1.025378E+03,0.000000E+00,4.120432E-02,0.000000E+00,1.437405E+03,0.000000E+00,5.776286E-02,0.000000E+00,1.023094E+03,0.000000E+00,4.111255E-02,0.000000E+00 
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.441786E+03,0.000000E+00,5.793664E-02,0.000000E+00,9.736008E+02,0.000000E+00,3.912250E-02,0.000000E+00,1.365508E+03,0.000000E+00,5.487215E-02,0.000000E+00,9.714415E+02,0.000000E+00,3.903575E-02,0.000000E+00 
01:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.445417E+03,0.000000E+00,5.808353E-02,0.000000E+00,9.742345E+02,0.000000E+00,3.914871E-02,0.000000E+00,1.370223E+03,0.000000E+00,5.506245E-02,0.000000E+00,9.720948E+02,0.000000E+00,3.906274E-02,0.000000E+00 
