Circulation_Equipment,ComputerCluster_Equipment,Kitchen_Equipment,Lavatory_Equipment,LectureTheatre_Equipment,Library_Equipment,Meeting_Equipment,Office_Equipment,Plant_Equipment,PrintRoom_Equipment,Reception_Equipment,Server_Equipment,Shower_Equipment,Storage_Equipment,ExhaustFans,Fixture_Cleaners,Fixture_MaleToilets,Fixture_DisabledToilets,Fixture_FemaleToilets,Fixture_Kitchenettes,Fixture_Showers,VRVBasementccop,VRVBasementhcop,VRVFifthFrontccop,VRVFifthFronthcop,VRVFifthMiddleccop,VRVFifthMiddlehcop,VRVFifthRearccop,VRVFifthRearhcop,VRVFirstccop,VRVFirsthcop,VRVFourthccop,VRVFourthhcop,VRVGroundccop,VRVGroundhcop,VRVSecondccop,VRVSecondhcop,VRVSixthccop,VRVSixthhcop,VRVThirdFrontAndMiddleccop,VRVThirdFrontAndMiddlehcop,VRVThirdRearccop,VRVThirdRearhcop,Circulation_Lighting,ComputerCluster_Lighting,Kitchen_Lighting,Lavatory_Lighting,LectureTheatre_Lighting,Library_Lighting,Lift_Lighting,Meeting_Lighting,Office_Lighting,Plant_Lighting,PrintRoom_Lighting,Reception_Lighting,Server_Lighting,Shower_Lighting,Storage_Lighting,Boiler1,Boiler2,Circulation_Infiltration,ComputerCluster_Infiltration,Kitchen_Infiltration,Lavatory_Infiltration,LectureTheatre_Infiltration,Library_Infiltration,Meeting_Infiltration,Office_Infiltration,Plant_Infiltration,PrintRoom_Infiltration,Reception_Infiltration,Server_Infiltration,Shower_Infiltration,Storage_Infiltration,Circulation_People,ComputerCluster_People,Kitchen_People,Lavatory_People,LectureTheatre_People,Library_People,Lift_People,Meeting_People,Office_People,Plant_People,PrintRoom_People,Reception_People,Server_People,Shower_People,Storage_People,ZoneVentilation,SolsticeVenetianBlind,Carpet,Shading Control,Air cavity 10 wall,Air cavity 130 floor,Air cavity 350 ceiling,Air cavity 50 wall,Asphalt,Brick (100mm),Brick (200mm),CastConcrete 300mm,ConcreteDeck 50mm,InsulationCelotex,InsulationPartition,MDF board,Plywood 40mm,SingleAndSecondaryGlazing,OfficeHeatingSetPoint,OfficeHeatingDeadBand,ActivityLevel_Value,DeltaTemp_Sched_Value,MinIndoorTemp_Sched_Value,MaxOutdoorTemp_Sched_Value,MinOutdoorTemp_Sched_Value,HWSchedule_Cleaner_Offset,HWSchedule_Cleaner_WeekProfile_TotalHours,HWSchedule_Cleaner_WeekendProfile_TotalHours,HWSchedule_Cleaner_WeekProfile_OH,HWSchedule_Cleaner_WeekendProfile_OH,HWSchedule_Kitchenettes_Offset,HWSchedule_Kitchenettes_WeekProfile_TotalHours,HWSchedule_Kitchenettes_WeekendProfile_TotalHours,HWSchedule_Kitchenettes_WeekProfile_OH,HWSchedule_Kitchenettes_WeekendProfile_OH,HWSchedule_Showers_Offset,HWSchedule_Showers_WeekProfile_TotalHours,HWSchedule_Showers_WeekendProfile_TotalHours,HWSchedule_Showers_WeekProfile_OH,HWSchedule_Showers_WeekendProfile_OH,HWSchedule_Toilets_Offset,HWSchedule_Toilets_WeekProfile_TotalHours,HWSchedule_Toilets_WeekendProfile_TotalHours,HWSchedule_Toilets_WeekProfile_OH,HWSchedule_Toilets_WeekendProfile_OH,Office_OccSched_WeekProfile_TotalHours,Office_OccSched_WeekendProfile_TotalHours,Office_OccSched_WeekProfile_OH,Office_OccSched_WeekendProfile_OH,Office_EquipSched_WeekProfile_TotalHours,Office_EquipSched_WeekendProfile_TotalHours,Office_EquipSched_WeekProfile_OH,Office_EquipSched_WeekendProfile_OH,Office_LightSched_WeekProfile_TotalHours,Office_LightSched_WeekendProfile_TotalHours,Office_LightSched_WeekProfile_OH,Office_LightSched_WeekendProfile_OH
1.79625519749,20.0467097831,42.0682375263,1.78756044625,7.76026414298,7.70575198349,13.2103056336,16.1548671212,23.6649070387,17.3698968479,4.30754719868,50.6290259073,1.74294414105,0,0.61648893616,1.67609579824e-05,2.86137037095e-05,5.66326299417e-06,3.18041095689e-05,2.43454445344e-05,0.000270735650638,3.94399486174,4.33668133372,3.00955770428,3.75444332169,3.25224310458,3.87341148253,3.08093263746,3.26884930042,4.02050526239,3.89601827328,2.76928097201,3.76947378021,2.77359821258,4.7147212994,3.38183475634,4.53835785915,4.16567730182,3.43428346543,3.09613180691,3.54026987606,3.14677604166,4.21818838006,8.90977141607,17.2304762826,10.9671483632,13.4601891801,11.534827152,6.37715573174,5.61083081442,19.1570860288,10.9420851712,11.9361260494,16.621521677,10.789240052,14.4516502547,15.5609884606,20.8620487366,0.910868502553,0.939241314457,0.000959347888874,0.000705155759081,0.000736467829304,0.000769183218911,0.000772362806062,0.000607717565413,0.000861904695931,0.000652375851463,0.000783648830509,0.000595487092319,0.000884824025872,0.000678983463527,0.00075082978256,0.000635366946619,8.82050759086,8.59595483811,3.44291336907,8.7055284087,8.42690854291,7.9168186085,7.90546328721,8.8720282274,9.58089490578,41.4147401764,8.99903009671,8.87863290464,9.24849398454,8.37193574368,9.21373515312,0.00627438564378,220.929297029,0.103963461455,132.458745694,0.145192404258,0.179497937147,0.207811753998,0.132445742826,0.165583247401,0.940275873651,0.832325106838,0.198842743147,0.191193481754,0.0206544154604,0.0375546867154,0.303107558698,0.163558747252,2.37880849685,23,2,139.251331343,1.89480977809,22.9788240339,32.4021402071,17.4301448954,1,2.2358167266,0.785557228264,0.181282437292,0.0604274790972,2,13.5848508476,0.982720800936,0.982720800881,0.0,2,3.34969948981,2.96905182051,0.0,0.228388601578,1,13.1804235785,3.1445035176,0.673822182305,0.179685915291,3.25797477422,3.63342132514,0.88108280427,0.970886152692,5.3816002991,0,2.08649918896,0,3.78415035986,0,1.11142540597,0
2.0890948306,19.6747369122,52.5820041182,1.77803721774,8.23187495978,9.25865204407,12.3159424371,15.0857741389,26.1641755938,18.938328756,4.73630201714,56.6977314591,1.92502939106,0,0.592246023824,2.22400821038e-05,3.3630618248e-05,4.89478542775e-06,3.1302979517e-05,3.40729994772e-05,0.000227835083193,4.19999747953,4.13907991453,3.741673394,3.30148997904,3.59202984896,4.56073795872,3.54534622192,4.28308889149,3.4417329885,3.70637815581,2.90177437931,4.22332702522,3.20744579824,3.78377018585,3.4787042143,4.20803161275,4.3309307601,4.41223445872,3.34609822908,3.56656780304,3.85960177267,3.88032297948,8.59247039619,17.5734114757,10.6659933343,11.5948391926,12.1063824647,8.708257334,7.18848417348,19.8024660263,10.0161961494,13.9726038128,13.2879828323,12.2785197381,18.3137422439,13.2863157064,19.1151781117,0.933465954627,0.985523653021,0.000687453372969,0.000850861997809,0.000814793409387,0.000773321595023,0.000745284814533,0.000747220683847,0.000783642133283,0.000702789287622,0.00062500804662,0.000925235656428,0.000721890719641,0.000729034054021,0.0007101138486,0.000845368698975,8.48153512848,8.70708828352,3.9592193087,9.07663546486,8.15715096425,8.79354472906,9.13217457552,9.22729716347,11.0143472709,38.4511877396,9.98153529806,10.7987514869,8.61218618004,9.30378886688,10.4234673528,0.00712858893789,217.888592045,0.110168505705,159.787048925,0.149077798476,0.169554580207,0.170530854367,0.152406749915,0.193894802524,0.916137015111,1.02161801955,0.175091226004,0.233437556903,0.0236342279314,0.0374762577855,0.270786966739,0.150420915292,2.36513645075,23,2,144.603837991,2.25450235131,22.0595637262,29.4994511509,18.7947263025,2,1.68714396445,0.585335661136,0.309883585307,0.103294528436,2,16.9863537326,1.27901448245,1.2790144823,0.0,1,3.64042944767,3.53930640745,0.0,0.202246080426,3,15.0170791824,3.5169097695,1.47219478715,0.368048696808,6.4539541356,3.9993506227,1.70452851436,1.06099412612,4.88206091451,0,1.52028950535,0,7.47791720616,0,2.13390404212,0
1.7785160555,18.8683029829,39.1564309636,1.61760861004,8.37290483577,6.89747830799,11.9702741157,14.6681789794,26.611842437,19.0934927324,4.27991165736,43.4176742816,1.6412946475,0,0.616139761209,9.64189581915e-06,2.84311304345e-05,6.68086497744e-06,4.72596799641e-05,3.46421441699e-05,0.000276871625089,3.54719023143,4.37165451826,3.7906710444,3.93180718748,3.34060755828,3.56744654359,3.10303321524,4.61152045327,3.71725097538,4.10269317961,3.45262293032,3.43392058418,3.43238837319,2.74309084199,3.48685012776,3.44987291627,4.23623465027,3.59663749837,2.75629347089,3.6829388196,3.11172217507,3.85838644473,7.42334391844,17.212798075,12.3799698667,14.1189184412,10.1722089497,9.08882838763,7.02120970323,20.0689043031,9.27143566954,15.050446577,13.4491131783,14.0034525495,16.0708083842,13.3093508006,18.5748689212,0.882500754955,0.954966074893,0.000704561043131,0.000694138750213,0.000829581493268,0.000825327700369,0.000689303227209,0.000785330263299,0.000797002566731,0.000713992410902,0.000714276459813,0.000730027254768,0.000801378921606,0.000798849117758,0.00076572251657,0.00073826623909,9.72308325134,9.14046715042,3.86450758721,9.04188971053,9.14324076546,9.26118922625,7.35047207971,8.66721942561,9.10868590255,37.1084759876,7.96364611681,9.75421628808,10.3636733584,7.41717446778,7.89973269041,0.00805368218079,230.201963553,0.0936766954737,153.123195021,0.131250926548,0.14409149443,0.185924883259,0.15480213411,0.167451188229,0.789609804358,0.984056443197,0.192098649925,0.232331063813,0.0238946368471,0.0407441819004,0.330829030202,0.145322473664,3.11985838705,21,4,136.839020463,1.9332007383,24.2119282056,30.4180714862,18.9110568736,3,3.55533984199,1.2239694538,0.874263895571,0.291421298524,2,16.7014633481,1.25111189671,1.25111189657,0.0,2,4.69913026274,4.16513818743,0.0,0.320395245187,2,16.5391602816,4.01582168303,1.23563744081,0.308909360233,6.59225252427,4.98540331332,1.74193214187,1.31335327788,6.21095976974,0,2.2254052329,0,7.63935156304,0,2.1811886451,0
1.93189665231,20.2624692298,43.3628747699,1.73840637109,8.5704250943,8.73469020635,10.7256178407,15.7091267351,23.1872508032,19.2426225442,4.22133179733,51.880715818,1.77293825639,0,0.585335587795,1.30563552162e-05,1.53734311303e-05,2.45612498876e-06,3.11455486644e-05,3.33574110091e-05,0.000240918824944,3.73258545871,4.52669343689,3.43000175573,4.00176568635,3.71974536225,3.88292793935,3.15494210304,3.311455813,3.03039850363,3.72331896157,3.07543532895,3.84672959384,3.32901103003,4.14142235177,3.62873910861,3.85186377309,2.91665864768,4.51687066251,3.08464147337,4.06414154034,3.30408189033,4.24812022341,7.30527249342,14.7808540795,11.7823833181,12.9815741307,11.9661811736,7.59096850463,6.32782651549,16.9014284408,10.408980599,13.5941750908,17.2293210851,10.3420512197,16.0569856089,12.2108442059,16.7756361308,0.864584258226,0.926854679411,0.000799751476208,0.000644215832145,0.000722153499864,0.000869736801205,0.000678080086543,0.000643875286083,0.00069961471205,0.000742612743118,0.000642640683074,0.000819554978652,0.000732357710726,0.000765763136722,0.000746213087564,0.000708149173161,8.80690565178,9.30439809539,3.16484810921,8.73470880706,9.04922036308,7.64619220239,9.23715607831,9.25168501693,9.96258833522,38.8153750184,7.9014615055,9.4196306136,8.55707653128,9.510724129,8.23017871155,0.0074448816048,236.265637794,0.0948165157671,170.195424997,0.136782671076,0.178565665165,0.16998817371,0.161680333591,0.169851962111,0.871850165655,1.01532241715,0.201453777903,0.250318327345,0.0220859081843,0.0360792232449,0.358849465362,0.157988377628,3.04787491574,21,3,134.57770294,2.0029734148,23.292107298,28.4630750034,16.3542774278,2,2.32023435425,0.80497926576,0.426165493638,0.142055164546,2,17.5907501909,1.34217606303,1.34217606284,0.0,3,5.63780787812,4.66203343768,0.0,0.487887220222,2,15.843040335,3.80904125013,1.17201269225,0.293003173087,4.52406445151,3.73366810162,1.19383229086,0.995333994548,6.70185127945,0,3.024,0,5.25855062441,0,1.50779374719,0
1.99134028383,22.0815964876,37.6336178045,1.97573390618,8.68703068694,7.68238598684,10.6356360183,17.720787064,23.6018088326,20.1810209192,3.90317475131,40.092380695,2.01001244267,0,0.601474222208,1.66796464499e-05,3.09315280746e-05,5.06117245146e-06,3.44305572075e-05,3.67473953584e-05,0.000281527402628,3.44993291625,4.4702190354,3.5874960815,3.74365442497,2.63147171583,3.3953380327,3.07512525104,4.38842545557,2.8818697644,4.54012096505,2.56051733393,3.90979948634,3.42444795867,4.28660378452,3.64184967005,3.77747040874,3.59688850294,4.43832413743,3.20307930146,3.68847394492,2.93340048497,4.38256959097,9.91988122084,15.2895207831,9.54526576365,13.014441465,12.2095858294,7.27903363215,7.7594296678,19.8576980316,9.57414545716,12.3023210786,18.5627998028,12.5777175499,13.7440999521,13.8097803931,14.6708065815,0.752313597288,0.958636330477,0.000846551128155,0.000895093899483,0.000791071433875,0.000782356473271,0.000846737965625,0.000738675904492,0.000652412848271,0.000703893192939,0.000739833429688,0.000812390514954,0.000728981866913,0.000716149037587,0.000831074712339,0.000747208734948,9.23699541856,8.24184944818,3.54233260575,9.86105422408,8.94169878049,7.02405465579,8.54362277091,9.55909888309,8.07233797808,41.7097476239,8.83472135922,9.28838226272,9.28168733851,8.25211403455,9.18341784068,0.00876460961434,228.290816671,0.089230962335,139.798257832,0.160490081944,0.209013692796,0.172012155296,0.134649154904,0.17025590818,0.846498262742,0.85841088725,0.217627603039,0.230519774409,0.0216028909335,0.0369243951818,0.325782505571,0.124530891815,3.12889389713,22,2,141.43182443,2.60432976689,23.415361109,30.5938343227,18.8803576066,2,1.73068841038,0.600442917888,0.317881544764,0.105960514921,3,15.9256215393,1.22352108051,1.57309853198,0.0436971814467,1,3.57228800085,3.4730577786,0.0,0.198460444492,3,21.2328387098,5.64036803849,2.36108429412,0.590271073796,4.02984160373,2.5026397291,1.06860482104,0.701187576272,6.10438102224,0,3.024,0,4.24389139215,0,1.23810465829,0
1.6025347835,20.3916704478,42.1743888486,1.644628541,7.30653842576,7.74485426496,12.1673926731,16.3637544916,22.2302744154,20.1872887691,3.0378186927,51.2842548081,1.6534743289,0,0.565581280609,1.28557152703e-05,1.91820075347e-05,7.58535630591e-06,3.73889189564e-05,2.7953998845e-05,0.000267212555806,3.38521341316,4.2581995376,3.0680304507,3.78105248106,2.83743488124,3.54006247621,3.25598772199,3.37745451942,3.64151584882,4.07388494736,3.35567564232,4.07962173289,2.94121858414,3.93460178907,4.04503922427,4.03149682453,4.09581582114,4.65728126707,3.02513720597,4.27793010408,2.96524189086,3.94913432219,7.41561468588,14.6176115799,11.4078737511,10.7734125824,12.9946571325,8.59712435054,6.6133385278,21.9139365149,8.76229669835,14.4062265668,16.3429908752,11.6827918738,14.0565323765,12.4465526195,17.3646952777,0.973498719756,0.920235455321,0.000650637010142,0.000873712193596,0.000755906321984,0.000663637385229,0.000722474263221,0.000695314031047,0.000705970713148,0.000749674127755,0.000692250810217,0.000823259428976,0.000709953065588,0.000748812119943,0.000769708980467,0.000814081107124,8.58297488487,9.52732342862,3.54614300005,9.95424410896,7.39606329722,9.81525166497,8.18772747962,10.3451595893,9.48177541791,41.8123382476,8.08761463326,11.1956931653,11.0613657998,7.93157839761,8.81027778347,0.0085010863393,229.046105371,0.0877383016481,161.220633155,0.139757044966,0.215464253134,0.175275622518,0.170780245821,0.137138162698,0.92552597919,0.92608997225,0.220457878149,0.183288682254,0.0225327787398,0.0328196695337,0.292325077519,0.143587351628,3.20062410247,22,3,135.18105776,2.20761598878,23.5642132563,30.8619903666,15.7732214086,2,1.91339115278,0.663829583618,0.351439191327,0.117146397109,3,15.9038132032,1.22161886626,1.57065282795,0.0436292452236,2,4.53541434295,4.02002634943,0.0,0.30923279611,3,15.8846338101,3.74697984617,1.56850319132,0.392125797855,3.11889878605,5.33103764819,0.848545666087,1.40417879129,7.58461166556,0,3.07063098105,0,3.41026692367,0,1.07390080539,0
1.85823660009,20.1967114239,34.7475979214,1.95106931984,7.00884675554,7.13094834496,13.7064439212,16.0202759876,19.7827818748,22.6879338562,4.06900838321,63.6240610867,2.12993348406,0,0.578711089253,2.07984022592e-05,3.9850994969e-05,3.63603626374e-06,3.04275472076e-05,2.34679664433e-05,0.00026592108799,3.56457506431,4.82092902213,3.14086864085,3.13930150471,3.4675915837,3.76043434871,2.64851806298,3.10828611125,3.65939107151,3.54045498931,3.52062512426,3.70666561187,2.82014266231,3.95303096694,3.40343918209,4.19754560708,4.07744530717,4.81030441129,3.30645633966,3.75637669367,3.57343410627,3.95400159392,8.56615635202,15.3229951944,11.2745720962,13.8230230974,10.8426574975,6.61009332965,8.00307565864,18.7415213082,11.163674076,9.93449565414,15.4283923352,9.82763964765,14.7919883118,14.6627227836,17.0902133504,0.903687953825,0.84207453963,0.000764265995236,0.000743390977319,0.000763586651656,0.000749996385122,0.000702955929573,0.000902083732278,0.000685820955898,0.000819781337955,0.000968493634218,0.000781126923323,0.000691691141199,0.000805136563256,0.000783205238077,0.000757978172115,7.33848222298,7.85807452292,3.39394729363,9.12385932488,10.0809649975,7.74027231945,8.92976206057,9.76808374682,8.93111323603,35.8602459036,7.70148662446,8.37286010754,11.2029525667,8.9159529678,9.36875217935,0.00833146053064,207.719444715,0.0934174573901,137.310614327,0.166844451046,0.189139900449,0.200173833022,0.139252730212,0.163192501233,0.938555631732,0.877586137028,0.20052474571,0.218990527288,0.0228034835844,0.0367987957889,0.284180505977,0.15999266551,3.32707318976,22,3,140.045366366,1.99771976744,22.1620054869,30.0062416867,15.4755831995,2,2.4068381756,0.835025489495,0.442072317968,0.147357439323,1,18.3395717391,1.51369511562,1.13527133371,0.0,3,5.41884310585,4.48096641445,0.0,0.468938345699,3,15.0446981212,3.52418684605,1.47524100524,0.368810251331,5.79738432694,3.21816941745,1.52808025357,0.871730582624,6.36712893856,0,3.024,0,7.08681321617,0,1.9970201869,0
1.91147460396,22.4057940834,43.5531959759,1.7276730351,7.46001426072,8.68305631366,11.0435765115,12.8194443589,28.6818366152,20.4771864477,4.83567725513,43.9385894482,1.54055749587,0,0.554097696357,5.97532650692e-06,2.67383114338e-05,9.20067741738e-06,2.27410118823e-05,3.37208497585e-05,0.000246048231256,4.18172170872,4.18716509393,3.13101753818,3.58244777649,3.47683940306,4.25320317526,3.1515180046,4.8965283472,3.32189689521,3.87875927416,3.24328554803,3.40924120673,2.81639719445,3.62860376708,3.56547415102,4.25806210757,3.76853548718,4.32260760563,3.42409628497,3.53330812892,3.43875464543,4.32154006552,8.14047163547,16.7874929051,11.4869768887,14.7960975928,13.5987081256,8.81746644326,7.57616710365,19.5585977982,9.3371071731,12.2089893801,14.1547622415,11.9174765553,15.1679646461,13.9668626478,17.2286154082,0.777039103464,0.881267524488,0.000835768084491,0.000751924536017,0.000785224334525,0.000747015829457,0.000634408686373,0.000675403917873,0.000743366439219,0.000684503026376,0.000792893817122,0.000670352968451,0.000701874692918,0.000742087601488,0.00078982395212,0.000686933292948,8.91709487556,9.82848256439,3.58774126836,9.61375940086,7.91407241294,9.57345552959,9.79624133754,8.77420337836,8.27875741389,40.3898263938,8.65191215717,9.66994411708,8.14579197995,7.63398427543,9.90095347524,0.00753411683785,214.768135063,0.110865117612,143.997549257,0.151720976692,0.204887694953,0.191469190077,0.161935233496,0.154964198998,0.951392665972,0.870700913798,0.202796517361,0.176433917036,0.0242036919738,0.0317420702218,0.312347867251,0.151400024655,3.13259837373,21,3,146.106355972,1.60668911401,24.1775549258,29.9911927615,20.6259825071,2,2.11200283737,0.73273567827,0.387918888496,0.129306296165,1,15.9334898805,1.13737605594,0.853032041847,0.0,1,2.8896693685,2.80940077493,0.0,0.160537187139,2,12.607119073,2.93632471962,0.903484529071,0.225871132278,5.18437866917,4.24386711131,1.36552271129,1.12242357709,5.41251362505,0,1.64820903206,0,5.23687866917,0,1.40752271129,0
1.81074318676,18.2418326657,50.5140151054,1.70859491979,8.39237747095,6.85030591194,10.2342119147,14.892367453,26.3410675013,17.8704989598,4.53469244659,55.6523767464,1.80746793857,0,0.597867043576,1.38678216215e-05,3.47653033802e-05,6.24649488605e-06,3.19997911359e-05,2.60656521747e-05,0.000223849708952,3.70158492975,3.98047015599,2.48204368289,4.3140520333,2.74336565923,3.90771961583,3.03506081934,3.3037544505,3.91102865453,3.88572007295,3.24592376788,3.90311562988,2.93952134254,3.99696751202,2.85234082773,4.23503054758,3.81829827838,4.99610433422,3.1778387351,4.87600821517,3.1669219185,3.75877086443,7.17967032775,18.0895916328,11.0828935659,13.2118509281,9.80854004964,8.993922656,7.43848745131,20.9890856174,8.80956332311,13.2559418102,14.5741907127,13.2911687812,16.5247658744,14.9164267413,16.1705277086,0.991329085142,0.944679942502,0.000796576592569,0.000765773138012,0.000767129185699,0.000829116160198,0.000847665479001,0.000703192205995,0.000769394540056,0.000629955658015,0.000721227534846,0.000763518891381,0.000893944031688,0.000865923830544,0.00069169324638,0.000774016464941,8.447925252,9.67273120743,3.24496240687,7.57113247007,8.89493173044,9.20191099764,8.92011217878,7.82574633852,8.87413318376,38.2681740801,9.17360671058,9.88186723772,7.55675170409,7.95102930943,8.66859160159,0.00780782995709,218.674434413,0.106428735469,126.334216082,0.128228471011,0.166948462557,0.183310172792,0.179759554866,0.148328684084,0.91011152786,0.849660950757,0.212223073385,0.19849664041,0.0214529604988,0.0342586168892,0.302819842323,0.170468242859,2.95463247237,22,3,142.268244099,1.91363294893,23.051749195,29.0208875593,17.6934031515,2,1.81101779987,0.628312297912,0.332635922424,0.110878640808,2,18.8662501815,1.50657059521,1.50657059476,0.0,2,4.32070713458,3.82971768747,0.0,0.294593668267,1,14.6244447712,3.55267962323,0.761288490634,0.203010264185,2.7693989642,2.55597845091,0.768112477846,0.717543287576,6.13045932849,0,3.024,0,3.0897802972,0,1.01037579095,0
1.83909911233,20.0120672462,40.9669514811,1.82313805638,8.2243583887,7.06245918654,11.7676830918,11.610992128,25.8051474886,19.230231267,4.03006727377,49.0863303909,1.87486360873,0,0.577824530175,1.238166602e-05,3.10598073765e-05,5.70501622605e-06,2.19524592106e-05,3.61581214281e-05,0.000235358173851,3.87195867003,4.26521096882,2.95765536313,4.095962255,3.61263456623,2.98876835889,3.17922986453,3.75973728317,3.68056345592,3.74227914793,3.38605422159,4.34620811267,3.03935708954,3.33452332484,3.65348955267,4.46965730214,3.71047487361,3.99225597721,3.50525657088,3.95527341852,3.54368041222,4.15766659385,10.1178956672,15.1765322942,9.37027369292,14.0216966955,13.2257014984,8.54756235843,7.29218609817,21.1832392547,11.3679804285,11.2989977591,16.3941421687,12.2375659413,15.8411511143,14.9638894231,15.9921123585,0.966315540474,0.890326649993,0.000844771365891,0.000876457850102,0.000816885227834,0.000810322963087,0.000732938022352,0.000742955077374,0.000686263445015,0.000820008810582,0.000631942098589,0.000805522058065,0.000680876457985,0.000780405518515,0.000813372009843,0.00085483906501,8.69138871587,10.6318526099,2.90586137887,9.80506980081,9.78007070956,9.33929153498,7.01866167403,9.49761059548,9.54619839379,44.4755988298,7.2570297569,10.6048195756,7.97697173613,10.6330297554,7.71465165961,0.00768863207926,241.06487144,0.090717042148,155.040904435,0.163506484094,0.16129584946,0.186587561837,0.116646346943,0.14617079941,0.8304607207,0.93216101045,0.220719780501,0.200886157054,0.0249590378453,0.0377548803333,0.285447968174,0.128363255004,2.95097263126,22,2,137.199425299,1.67855143378,23.2412333518,27.5497482126,18.1786655112,3,2.90639817398,1.0005633058,0.714688075569,0.238229358523,3,18.8658669386,1.50208354445,1.93125027121,0.0536458408732,2,4.16781034586,3.69419553383,0.0,0.284168887218,2,18.1003941916,4.55419352138,1.40129031402,0.350322578568,5.76373078311,4.51643985421,1.51909421887,1.19187620143,6.44660185715,0,2.27739676232,0,6.6733114293,0,1.90015498873,0
