0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
Name,Purpose,Feature,Type,Info,scaler,Units,Base Value,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
ActivityLevel,Gains,Single,ActivityLevel,5,,,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
AHU_supplytemp,System,NoChange,Temperature,,,,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Canteen_Cooling,Cooling,NoChange,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Canteen_EquipSched,EquipSched,NoChange,Fraction,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0.267862741,0.262421647,0.237299109,0.220534386,0.197560001,0.189252172,0.174660297,0.178154819,0.16447523,0.188695518,0.159896322,0.186756449,0.172603462,0.176720631,0.172705604,0.177579978,0.174652135,0.196861062,0.230651932,0.236178803,0.219857043,0.247461083,0.240027791,0.266415352,0.278497512,0.262504566,0.265173555,0.270674191,0.277859123,0.264690828,0.266906574,0.265710251,0.265252011,0.273196013,0.257899756,0.258351001,0.268416552,0.253127874,0.26115583,0.251693686,0.25832943,0.248818314,0.249997147,0.250525348,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Canteen_Heating,Heating,NoChange,Temperature,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Canteen_Occupancy,OccSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,1,1,1,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circulation_Cooling,Cooling,NoChange,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,50,50,50,50,50,50,50,50,50,50
Circulation_Heating,Heating,NoChange,Temperature,,,,,12,12,12,12,12,12,12,12,12,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,12
CWS_temp,ColdWater,NoChange,Temperature,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
EWH_Fraction,HotWater,NoChange,Fraction,,20.93117874,,,0,0,0,0,0,0,0,0,0,0,0.191994122,0.239774095,0.304897154,0.365611485,0.386214359,0.411599492,0.436859865,0.516875721,0.617212987,0.82194188,0.995995647,0.983750238,1,0.954317808,0.91997272,0.873851684,0.860397774,0.847135139,0.840389077,0.855870731,0.865336795,0.827317341,0.804239537,0.712057113,0.652708841,0.594138211,0.468497733,0.44494268,0.441576384,0.407528619,0.368226606,0.326793131,0.300297924,0.292855847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWH_Kitchen_Fraction,HotWater,NoChange,Fraction,,11.91241816,,,0,0,0,0,0,0,0,0,0,0.2,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWH_Shower_Fraction,HotWater,NoChange,Fraction,,11.91241816,,,0,0,0,0,0,0,0,0,0,0.2,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoilerSchedule,Boiler,NoChange,Fraction,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HWtemp_Boiler,System,Single,Temperature,2,,,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
Infiltration,Infiltration,NoChange,Fraction,,,,1,1,1,1,1,1,1,1,1,1,1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Office_Cooling,Multiple,NoChange,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50
Office_Heating,Multiple,NoChange,Temperature,,,,,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12
Office_LightSched_B,LightSched,Multiple,Fraction,,,,,0.181468152,0.181311419,0.183496618,0.184117608,0.186873815,0.180454935,0.183877188,0.180204737,0.187860229,0.228767168,0.441950479,0.617687735,0.745062336,0.764189802,0.796934909,0.964626948,1,0.929926029,0.924530949,0.843392698,0.841817024,0.855992144,0.84501793,0.83291974,0.833239247,0.816468565,0.837645069,0.830738724,0.828523607,0.807626538,0.783548549,0.796682521,0.778365562,0.759049009,0.745416718,0.716278445,0.651003296,0.578558241,0.472882254,0.37232843,0.323483687,0.288949135,0.267862741,0.262421647,0.237299109,0.220534386,0.197560001,0.189252172,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
