Name,Type,Bedrooms,Levels,Comment,Zone,Item1,Item2,Unit,Value
,,,,,,,,,
Box,Box,1,1,For_Jon,Living,x,Coord,m,0
,,,,,Living,y,Coord,m,0
,,,,,Living,z,Coord,m,0
,,,,,Living,L1,Length,m,8
,,,,,Living,L2,Length,m,4
,,,,,Living,h,Height,m,2.7
,,,,,Living,L4,Glazing,fraction,0.3
,,,,,Attic,x,Coord,m,0
,,,,,Attic,y,Coord,m,0
,,,,,Attic,z,Coord,m,2.7
,,,,,Attic,L1,Length,m,8
,,,,,Attic,L2,Length,m,4
,,,,,Attic,h,Height,m,2
,,,,,Attic,L2,Pitch,fraction,0
,,,,,,,,,
End-Terrace,End_Terrace_Loft,3,2,AWESOME,Living,x,Coord,m,1.8
,,,,,Living,y,Coord,m,3.4
,,,,,Living,z,Coord,m,0
,,,,,Living,L1,Length,m,4.2
,,,,,Living,L2,Length,m,3.4
,,,,,Living,h,Height,m,2.4
,,,,,Living,L4,Door,Zone,Hall
,,,,,Living,L3,Glazing,fraction,0.45
,,,,,Living,L2,Party,Flag,1
,,,,,Staircase,x,Coord,m,0
,,,,,Staircase,y,Coord,m,4.3
,,,,,Staircase,z,Coord,m,0
,,,,,Staircase,L1,Length,m,1.025
,,,,,Staircase,L2,Length,m,2.15
,,,,,Staircase,h,Height,m,4.8
,,,,,Staircase,L3,Door,Zone,Hall
,,,,,Dining,x,Coord,m,3.2
,,,,,Dining,y,Coord,m,7.5
,,,,,Dining,z,Coord,m,0
,,,,,Dining,L1,Length,m,2.8
,,,,,Dining,L2,Length,m,4.1
,,,,,Dining,h,Height,m,2.4
,,,,,Dining,L1,Glazing,fraction,0.375
,,,,,Dining,L4,Door,Zone,Hall
,,,,,Dining,L2,Party,Flag,1
,,,,,Kitchen,x,Coord,m,0
,,,,,Kitchen,y,Coord,m,7.5
,,,,,Kitchen,z,Coord,m,0
,,,,,Kitchen,L1,Length,m,3.2
,,,,,Kitchen,L2,Length,m,3.2
,,,,,Kitchen,h,Height,m,2.4
,,,,,Kitchen,L3,Door,Zone,Hall
,,,,,Kitchen,L1,Glazing,fraction,0.3
,,,,,Hall,x,Coord,m,0
,,,,,Hall,y,Coord,m,2.15
,,,,,Hall,z,Coord,m,0
,,,,,Hall,L1,Length,m,1.8
,,,,,Hall,L2,Length,m,2.15
,,,,,Hall,h,Height,m,2.4
,,,,,Hall+,J,Join,Zone,Hall
,,,,,Hall+,x,Coord,m,1.025
,,,,,Hall+,y,Coord,m,3.4
,,,,,Hall+,z,Coord,m,0
,,,,,Hall+,L1,Length,m,0.775
,,,,,Hall+,L2,Length,m,1.25
,,,,,Hall+,h,Height,m,2.4
,,,,,Hall++,x,Coord,m,1.025
,,,,,Hall++,y,Coord,m,4.3
,,,,,Hall++,z,Coord,m,0
,,,,,Hall++,L1,Length,m,2.175
,,,,,Hall++,L2,Length,m,0.9
,,,,,Hall++,h,Height,m,2.4
,,,,,Hall++,J,Join,Zone,Hall
,,,,,Bath1,x,Coord,m,0
,,,,,Bath1,y,Coord,m,2.15
,,,,,Bath1,z,Coord,m,2.4
,,,,,Bath1,L1,Length,m,2.05
,,,,,Bath1,L2,Length,m,2.15
,,,,,Bath1,h,Height,m,2.4
,,,,,Bath1,L3,Glazing,fraction,0.26
,,,,,Bath1,L1,Door,Zone,TopHall
,,,,,Bedroom2,x,Coord,m,3.2
,,,,,Bedroom2,y,Coord,m,7.5
,,,,,Bedroom2,z,Coord,m,2.4
,,,,,Bedroom2,L1,Length,m,2.8
,,,,,Bedroom2,L2,Length,m,4.1
,,,,,Bedroom2,h,Height,m,2.4
,,,,,Bedroom2,L1,Glazing,fraction,0.375
,,,,,Bedroom2,L4,Door,Zone,TopHall
,,,,,Bedroom2,L2,Party,Flag,1
,,,,,Bedroom1,x,Coord,m,2.05
,,,,,Bedroom1,y,Coord,m,3.4
,,,,,Bedroom1,z,Coord,m,2.4
,,,,,Bedroom1,L1,Length,m,3.95
,,,,,Bedroom1,L2,Length,m,3.4
,,,,,Bedroom1,h,Height,m,2.4
,,,,,Bedroom1,L3,Glazing,fraction,0.475
,,,,,Bedroom1,L2,Party,Flag,1
,,,,,Bedroom3,x,Coord,m,0
,,,,,Bedroom3,y,Coord,m,7.5
,,,,,Bedroom3,z,Coord,m,2.4
,,,,,Bedroom3,L1,Length,m,3.2
,,,,,Bedroom3,L2,Length,m,3.2
,,,,,Bedroom3,h,Height,m,2.4
,,,,,Bedroom3,L1,Glazing,fraction,0.35
,,,,,Bedroom3,L3,Door,Zone,TopHall
,,,,,Bedroom1,L4,Door,Zone,TopHall
,,,,,TopHall,x,Coord,m,1.025
,,,,,TopHall,y,Coord,m,3.4
,,,,,TopHall,z,Coord,m,2.4
,,,,,TopHall,L1,Length,m,1.025
,,,,,TopHall,L2,Length,m,1.25
,,,,,TopHall,h,Height,m,2.4
,,,,,TopHall+,x,Coord,m,1.025
,,,,,TopHall+,y,Coord,m,4.3
,,,,,TopHall+,z,Coord,m,2.4
,,,,,TopHall+,L1,Length,m,2.175
,,,,,TopHall+,L2,Length,m,0.9
,,,,,TopHall+,h,Height,m,2.4
,,,,,TopHall+,J,Join,Zone,TopHall
,,,,,Staircase,L2,Door,Zone,TopHall
