aacode,dwell_weight,hhld_weight,GOR_EHS,rumorph,Tenure4x,dwtypenx,dwage9x,wallcavx,sap09,hhtype6,hhsizex,agehrpx,agepartx,ageoldx,Uglazing,Uroof,Uextwall,Ugndfloor,Permeability,floorx,efwalar,ebwalar,efwinar,ebwinar,finlivcl,,,,min,mean,max,sd
H0011103,2479,2479,10,1,2,6,1,2,22.62,5,1,47,0,47,2.758007117,2.3,2.1,0,13.0471,56.87,63.03,183.67,31.31,41.9,88.8,,,,21.2,58.93685484,136.66,20.02861572
H0011104,911,911,10,1,4,3,5,1,58.99,2,6,38,38,38,4.026845638,0.394511149,1.6,0.731014957,17.9648,78,58.18,36.08,20.07,6.81,2.3,,,,,,,
H0011110,768,768,10,3,4,2,9,1,70.12,4,2,22,0,49,2.758007117,0.307807607,0.6,0.63248734,16.1127,77.61,35.09,35.09,8.77,8.77,2.3,,,,,,,
H0011201,722,730,10,1,4,7,3,2,69.57,5,1,57,0,57,4.026845638,2.3,2.1,1.328085701,10.3508,28.01,265.15,191.6,117.91,72.73,88.8,,,,,,,
H0011202,1500,1500,10,1,2,2,3,2,60.35,3,2,40,0,40,2.758007117,0.394511149,2.1,0.77554214,23.9693,88.93,20.03,56.12,8.59,15.58,2.4,,,,,,,
H0011206,1419,1420,10,1,1,3,8,1,57.55,6,1,82,0,82,2.758007117,0.394511149,0.6,0.610311337,11.0597,54.42,14.99,33.13,6.43,8.44,2.3,,,,,,,
H0011211,2045,2047,10,4,1,2,1,2,41.84,1,3,19,0,58,2.758007117,0.673499268,2.1,0.525552854,19.8229,153.8,41.98,36.73,10.49,15.74,2.2,,,,,,,
H0011302,1532,1533,10,1,1,5,1,2,43.46,1,2,62,67,67,2.758007117,0.21575985,2.1,0.678154415,12.1403,97,61.63,43.01,9.56,4.78,2.7,,,,,,,
H0011307,722,730,10,2,4,7,9,1,72.36,1,2,72,68,72,2.758007117,0.326820604,0.6,0,21.3417,75.61,155.92,146.17,34.26,31.82,88.8,,,,,,,
H0011308,1374,1374,10,2,2,7,2,2,68.49,1,2,42,29,42,2.758007117,0.44212914,2.1,0,18.0913,48.03,85.31,24.44,32.2,6.11,88.8,,,,,,,
H0011403,1943,1945,10,2,1,5,7,1,60.74,1,2,68,73,73,2.758007117,0.278956944,1,0.519593046,12.1556,86.25,30.53,37.96,13.08,8.17,2.5,,,,,,,
H0012103,727,727,10,1,4,1,5,2,53.88,3,4,43,0,43,2.758007117,0.175908222,2.1,0.79192281,15.6814,68.63,24.62,51.35,16.42,19.39,2.5,,,,,,,
H0012105,1732,1734,10,1,1,2,6,1,60.06,1,3,57,68,68,2.758007117,0.394511149,1.6,0.798206304,12.6251,51.54,38.1,38.1,10.61,10.61,2.4,,,,,,,
H0012111,1591,1592,10,1,1,1,6,1,64.61,2,4,48,45,48,2.758007117,0.278956944,1.6,0.658963804,14.8627,60,13.22,41.54,8.81,11.25,2.3,,,,,,,
H0012206,1159,1159,10,1,2,5,4,1,52.9,3,2,21,0,21,2.758007117,0.44212914,1.6,0.727716394,12.0265,76.18,38.59,55.46,10.44,6.87,2.6,,,,,,,
H0012301,1367,1369,10,2,1,5,8,1,56.38,6,1,82,0,82,2.758007117,0.175908222,0.6,0.642425458,11.1801,90.23,25.24,69.8,6.31,10.76,2.4,,,,,,,
H0012303,1601,1602,10,2,1,1,7,1,39.41,1,2,53,42,53,2.758007117,0.278956944,1,0.746921641,13.3198,85.04,24.75,88.56,10.61,8.77,2.4,,,,,,,
H0012307,1354,1356,10,3,1,4,8,1,54.52,2,3,42,52,52,2.758007117,0.175908222,0.6,0.628046134,17.0464,219.06,90.07,100.58,37.76,25.69,2.4,,,,,,,
H0012312,669,669,10,3,3,2,6,1,57.48,2,4,46,51,51,2.758007117,0.21575985,1.6,0.547554747,17.4745,77.1,22.85,28.15,5.71,7.04,2.3,,,,,,,
H0012401,1036,1036,10,1,3,2,5,1,68.59,3,3,35,0,35,2.758007117,0.497566252,1.6,0.515100043,16.3128,72.24,15.68,15.68,12.55,12.55,2.3,,,,,,,
H0012402,1643,1643,10,1,2,6,1,2,51.21,4,4,28,0,28,2.758007117,2.3,2.1,0,22.6242,102.69,185.53,154.22,90.06,102.82,2.3,,,,,,,
