,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,
Appliance,EP_purpose,Useful Gains,Latent Fraction,Unit Power (W),0,1,2,3,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,,,,
TV,ElectricEquipment,0.5,0,130,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,0.01,,,,EquipmentLevel,,,,,
TV-Standby,ElectricEquipment,1,0,20,1,0.58,0.5,0.3,0.2,0.1,0.01,0.01,0,0,0,,,,EquipmentLevel,,,,,
Computer,ElectricEquipment,1,0,200,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,0.01,,,,EquipmentLevel,,,,,
Lights,Lights,0.5,0,100,1,0.58,0.8,0.7,0.6,0.5,0.4,0.1,0.1,0.1,,,,,LightingLevel,LightingLevel,,,,
Washing_Machine,ElectricEquipment,0.8,0,630,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Dishwasher,ElectricEquipment,0.8,0,1200,1,0.58,0.8,0.7,0.6,0.5,0.4,0.1,0.1,0.1,0.01,,,,EquipmentLevel,,,,,
Fridge,ElectricEquipment,1,0,24,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Fridge_freezers,ElectricEquipment,1,0,0,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Freezers,ElectricEquipment,1,0,0,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Clothes_drier,ElectricEquipment,0.5,0,0,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Microwave Oven,ElectricEquipment,1,0,800,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Gas_Oven,ElectricEquipment,1,0,0,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Gas_Hob,ElectricEquipment,0.5,0.5,500,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,"PM2.5 ==>1.6 for the lancet, but only for 1/2 hour! Same for NO2",0.8,4.1,25,"PM2.5 ==>1.6 for the lancet, but only for 1/2 hour! Same for NO2"
Electric_Oven,ElectricEquipment,1,0,1560,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Electric_Hob,ElectricEquipment,0.5,0.5,500,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,"PM2.5 ==>1.6 for the lancet, but only for 1/2 hour! Same for NO2",,,,
Hot_water,ElectricEquipment,0.5,0.5,500,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Vacuum_Cleaner,ElectricEquipment,1,0,1600,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,,,,,EquipmentLevel,,,,,
Shower1,ElectricEquipment,1,0,4000,1,0.58,1,1,1,1,1,1,1,1,1,,,,EquipmentLevel,,,,,
ExhaustFan,ElectricEquipment,1,0,0,1,0.58,1,1,1,1,1,1,1,1,1,,,,EquipmentLevel,,,,,
MVHR1,ElectricEquipment,1,0,0,1,0.58,1,1,1,1,1,1,1,1,1,,,,EquipmentLevel,,,,,
Jenny_Kettle,Heater,1,0,100,1,1,1,1,1,1,1,1,1,1,1,,,,Watts/Area,Heater for Jenny,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
VapourBreath,ElectricEquipment,0,1,25,1,0.58,1,1,1,1,1,1,1,1,1,,,,EquipmentLevel,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NIST_FRIDGE,ElectricEquipment,1,0,46,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,0.01,,,,EquipmentLevel,,,,,
NIST_OVEN,ElectricEquipment,0.4,0.3,5100,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,0.01,,,,EquipmentLevel,,,,,
NIST_HOB,ElectricEquipment,0.4,0.3,3600,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,0.01,,,,EquipmentLevel,,,,,
NIST_DISHWASHER,ElectricEquipment,0.6,0.15,1090,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,0.01,,,,EquipmentLevel,,,,,
NIST_WASHINGMACHINE,ElectricEquipment,0.8,0,500,1,0.58,0.8,0.7,0.6,0.5,0.4,,,,0.01,,,,EquipmentLevel,,,,,
