Name,Purpose,Permeability,htc_in,htc_out,vtc_in,vtc_out,Material,Thickness,U-Value
Wooden_Door,Door,,8.29,8.29,0.00000002,6.25E-08,Spruce,0.04,1.458365911
,,,,,,,,,
CAVITY_RandomU,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.11,
,,,,,,,AirGapExt,0.01,
,,,,,,,Brick,0.11,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
FILLED_CAVITY_RandomU,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.11,
,,,,,,,CelluloseInsExt,0.01,
,,,,,,,Brick,0.11,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
,,,,,,,,,
SOLID_BRICK_RandomU,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.11,
,,,,,,,CelluloseInsExt,0.1,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
FLOOR_RandomU,Ground_Floor,,0,0,0,0,Concrete,0.5,
,,,,,,,GlassFiberFloor,0.0065,
,,,,,,,Gypsum,0.1,
,,,,,,,,,
LoftFloor_RandomU,Loft_Floor,,8.29,8.29,0,0,Concrete,0.01,
,,,,,,,Spruce,0.0125,
,,,,,,,AirGapRoof,0.0001,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
LoftCeiling_RandomU,Loft_Ceiling,,8.29,8.29,0,0,Gypsum,0.01,
,,,,,,,AirGapRoof,0.0001,
,,,,,,,Spruce,0.0125,
,,,,,,,Concrete,0.01,
,,,,,,,,,
Concrete_Tiled_Roof_RandomU,Roof,,8.29,29.3,0,0,Concrete,0.05,
,,,,,,,AirGapRoof,0.01,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
Window_RandomU,Window,,8.29,29.3,0,0,Glass,0.01,
,,,,,,,GasWin,0.01,
,,,,,,,Glass,0.01,
,,,,,,,,,
,,,,,,,,,
0.55.SYST_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.556016755
,,,,,,,GlassFiber,0.0575,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.35.SYST_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.349527287
,,,,,,,GlassFiber,0.1,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.SOLID_BRICK_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.25,0.296610605
,,,,,,,CelluloseIns,0.11,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.45_External_Wall,External_Wall,5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,0.451296098
,,,,,,,AirGap,0.039,
,,,,,,,Brick,0.14,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.55.SYST_INT_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.25,0.556016755
,,,,,,,GlassFiber,0.0575,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
2.10_External_Wall,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.18,2.084388752
,,,,,,,Gypsum,0.005,
,,,,,,,,,
2.1.STONE_SAND,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.6,2.132002196
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.50_Cavity_Brick_Ext_Wall,External_Wall,5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,0.506485181
,,,,,,,AirGap,0.033,
,,,,,,,Brick,0.14,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.3.SOLID_BRICK,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,AAC,0.42,0.307242603
,,,,,,,Gypsum,0.02,
,,,,,,,,,
0.4.TIMB_INT_INS,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.025,0.405628088
,,,,,,,GlassFiber,0.07,
,,,,,,,Spruce,0.025,
,,,,,,,Gypsum,0.001,
,,,,,,,,,
0.35_External_Wall,External_Wall,5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,0.345253364
,,,,,,,GlassFiber,0.09,
,,,,,,,Brick,0.14,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
