0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,EP_type,Rougness in OS,Conductivity [W/mK],Density [kg/m3],Specific Heat [J/kgK],Thermal absorptance in OS = Emissivity in IES,Solar absorptance,Visible Absorptance in OS (1-A = R ),Porosity,Initial Water,Niso,Rhiso,Wiso,Nsuc,Wsuc,Dsuc,Nred,Wred,Dred,Nmu,Rhmu,Dmu,Nthm,Wthm,Dthm,EMPD depth(m),"EMPD ""a""","EMPD ""b""","EMPD ""c""","EMPD ""d""",Solar T,F Solar Reflec,B Solar Reflec,Vis Transmittance,F Vis Reflec,B Vis Reflec,Infrared Trans,F IR Emiss,B IR Emmis,EP_Special,Solar Transmittance,Solar Reflectance,Visible Transmittance,Visible Reflectance,Thermal Hemispherical Emissivity,Thermal Transmittance,Shade to Glass Distance {m},Top Opening Multiplier,Bottom Opening Multiplier,Left-Side Opening Multiplier,Right-Side Opening Multiplier,Airflow Permeability,Slat Orientaion,Slat Width,Slat Separation,Slat Angle,Blind to Glass Dist,thickness in m,thermal resistance,Solar heat gain coefficient,U-factor,sigma conductivity,lower,upper,,Thickness [mm] (OS is in m),OPENSTUDIO,Solar Transmittance at normal incidence,Front Side Solar reflectance at normal incidence (absorptance = 1-reflectance),back side solar reflectance at normal incidence,Visible Transmittance,Front side visible reflectance,Back side visible reflectance,Infrared Transmittance,Front side infrared hemispherical emissivity,back side infrared hemispherical emissivity,Dirt correction factor for solar and visible transmittance,,,,,,,,,,,,,,,,,,,
SinusoidalCorrugated SteelSheet,Material,Smooth,50,7850,490,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007,,,,5,35,65,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air cavity 25 wall,Material:AirGap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.15,,,0,0,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineralFibre RW2 Rockwool 150mm,Material,MediumRough,0.035,33,840,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.0035,0.0245,0.0455,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinusoidal-corrugated steel sheet,Material,Smooth,50,7850,490,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007,,,,5,35,65,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlasterboardConstruction 12mm,Material,MediumSmooth,0.25,670,800,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,0.025,0.175,0.325,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConcreteConstruction 600mm,Material,MediumRough,0.2,1900,930,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.02,0.14,0.26,,600,,ExternalWall (Ground) (Outside to Inside) Pg. 208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineralFibre RW2 Rockwool 60mm,Material,MediumRough,0.035,33,840,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.0035,0.0245,0.0455,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockworkConstruction 150mm,Material,MediumRough,0.2,1900,930,0.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.02,0.14,0.26,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral Fibre RW2 Rockwool 60mm,Material,MediumRough,0.035,33,840,0.9,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.0035,0.0245,0.0455,,60,,Exposed Floor (Outside to inside),,,,,,,,,,,,,,,,,,,,,,,,,,,,
