Name,Activity Type,Name
,,
WHO_PM25Ext,House,Gas_PM25_test
WHO_PM25Ext,House,Window_temperatureX
WHO_PM25Ext,House,Window_shading
WHO_PM25Ext,House,Heat1
WHO_PM25Ext,House,ComfX
,,
WHO_Cooking,House,Gas_COOKINGPM25
WHO_Cooking,House,Window_temperatureX
WHO_Cooking,House,Window_shading
WHO_Cooking,House,Heat1
WHO_Cooking,House,ComfX
,,
Family,House,Gas_PM25_test
Family,House,Heat_CIBSE_Family
Family,House,ComfX
Family,House,Window_shading
Family,House,Window_temperatureX
Family,House,Window_opening_family
Family,House,Doors_AWESOME
Family,House,WorkingAdult1
Family,House,WorkingAdult2
Family,House,HPRU_ROUTINE
Family,House,Child1
Family,House,Child2
Family,House,Child3
,,
Pensioners,House,Gas_PM25_test
Pensioners,House,Window_temperatureX
Pensioners,House,Window_opening_pensioner
Pensioners,House,Window_shading
Pensioners,House,Doors_AWESOME
Pensioners,House,Heat_CIBSE_Pensioner
Pensioners,House,ComfX
Pensioners,House,Pensioner1
Pensioners,House,Pensioner2
Pensioners,House,HPRU_ROUTINE
,,
Family-Shutters,House,Gas_PM25_test
Family-Shutters,House,Window_temperatureX
Family-Shutters,House,Window_opening_family
Family-Shutters,House,Window_shutter
Family-Shutters,House,Doors_AWESOME
Family-Shutters,House,Heat_CIBSE_Family
Family-Shutters,House,ComfX
Family-Shutters,House,WorkingAdult1
Family-Shutters,House,WorkingAdult2
Family-Shutters,House,HPRU_ROUTINE
Family-Shutters,House,Child1
Family-Shutters,House,Child2
Family-Shutters,House,Child3
,,
Pensioners-Shutters,House,Gas_PM25_test
Pensioners-Shutters,House,Window_temperatureX
Pensioners-Shutters,House,Window_opening_pensioner
Pensioners-Shutters,House,Window_shutter
Pensioners-Shutters,House,Doors_AWESOME
Pensioners-Shutters,House,Heat_CIBSE_Pensioner
Pensioners-Shutters,House,ComfX
Pensioners-Shutters,House,Pensioner1
Pensioners-Shutters,House,Pensioner2
Pensioners-Shutters,House,HPRU_ROUTINE
